ID_Startup,Nome_Real,Nome_Anonimizado,Setor_Industria,Premissa_Inicial_Input,Status_Real,Motivo_Real_Gabarito,Rotulo_Categorico,Desfecho_Previsto_IA,URL_Fonte
F01,Quibi,Plataforma móvel de vídeos curtos por assinatura,MediaTech B2C,"A tese inicial era criar uma plataforma móvel de entretenimento com episódios curtos, pensada para consumo rápido em deslocamento e em pausas do dia. O problema identificado era a dificuldade de adaptar conteúdo premium ao hábito de atenção fragmentada do público móvel. A solução proposta combinava produção própria, curadoria de alto orçamento e experiência nativa para smartphone. O modelo de receita previa assinatura mensal com e sem publicidade.",Falha,"A empresa encerrou as operações poucos meses após o lançamento, alegando que o modelo standalone deixou de ser viável e que o contexto de mercado mudou rapidamente. A baixa tração e a dificuldade de adequar o formato ao comportamento real de consumo foram fatores centrais.",Poor Market Fit,[Deixar em Branco para o Experimento],https://www.cnn.com/2020/10/21/media/quibi-shutting-down
F02,Theranos,Plataforma privada de diagnósticos laboratoriais por microamostras,HealthTech Diagnostics,"A tese inicial era simplificar exames de sangue usando uma plataforma compacta capaz de realizar múltiplos testes com poucas gotas de amostra. O problema era reduzir custo, tempo e desconforto associados aos laboratórios tradicionais. A solução prometia automatização proprietária e acesso mais rápido a diagnósticos. O modelo de receita era baseado em exames pagos e parcerias com canais clínicos e institucionais.",Falha,"O desfecho histórico foi marcado por fraude regulatória e técnica, com alegações enganosas sobre a capacidade do produto e sobre desempenho de negócios. O caso culminou em sanções da SEC e colapso da credibilidade da empresa.",Fraude / Atrito Regulatório,[Deixar em Branco para o Experimento],https://www.sec.gov/newsroom/press-releases/2018-41
F03,Juicero,Eletrodoméstico conectado para extração de bebidas vegetais,Consumer Hardware,"A tese inicial era automatizar a preparação de bebidas frescas em casa por meio de um equipamento inteligente e conectado. O problema identificado era a conveniência limitada de soluções caseiras e a dificuldade de manter consistência na preparação. A solução combinava hardware proprietário, insumos embalados e monitoramento digital do consumo. O modelo de receita previa venda do aparelho com recorrência em consumíveis.",Falha,"A startup ficou associada a um modelo percebido como caro e desnecessariamente complexo, com alto atrito de proposta de valor. A relação entre preço, utilidade e conveniência não se sustentou no mercado.",Poor Market Fit,[Deixar em Branco para o Experimento],https://www.theverge.com/2017/4/21/15379522/juicero-shutdown
F04,WeWork,Espaços flexíveis de trabalho com assinatura,PropTech / Real Estate SaaS,"A tese inicial era resolver a rigidez e o alto custo dos escritórios tradicionais por meio de espaços flexíveis e comunitários. O problema era oferecer infraestrutura pronta para empresas e profissionais que queriam escala sem contratos longos. A solução combinava coworking, serviços agregados e contratos de assinatura. O modelo de receita previa mensalidades e expansão acelerada de unidades.",Falha,"A empresa sofreu com queima de caixa, governança controversa e tese de expansão que não fechava economicamente em escala. O mercado passou a questionar a viabilidade estrutural do modelo.",Queima de Caixa,[Deixar em Branco para o Experimento],https://www.reuters.com/article/us-wework-funding-idUSKBN1W92V6
F05,Jawbone,Wearable de saúde e dispositivos de áudio conectados,Wearable Tech,"A tese inicial era criar dispositivos pessoais conectados para monitoramento de atividade e áudio com design premium. O problema era transformar hardware de consumo em uma plataforma contínua de uso e engajamento. A solução unia sensores, app companheiro e posicionamento lifestyle. O modelo de receita previa venda de hardware com potencial de recorrência em ecossistema digital.",Falha,"A empresa não conseguiu sustentar escala lucrativa nem manter competitividade frente a rivais com maior eficiência operacional e produto mais maduro. O excesso de custos e a deterioração do posicionamento levaram ao colapso.",Escala Ineficiente,[Deixar em Branco para o Experimento],https://www.theverge.com/2017/6/21/15849756/jawbone-liquidation-shut-down-report
F06,Anki,Robôs de consumo com software embarcado,Robotics / Consumer AI,"A tese inicial era levar robótica acessível ao consumidor final por meio de brinquedos e produtos interativos com software inteligente. O problema era criar entretenimento tecnológico com personalidade e recorrência de uso. A solução combinava hardware conectado, comportamento adaptativo e ecossistema de app. O modelo de receita previa venda de dispositivos e possíveis expansões de franquia/produtos.",Falha,"A empresa não conseguiu converter inovação de produto em trajetória financeira sustentável, enfrentando custos elevados e dificuldades de escala. A dependência de hardware e a pressão de capital contribuíram para a falência.",Escala Ineficiente,[Deixar em Branco para o Experimento],https://techcrunch.com/2019/04/19/anki-is-shutting-down/
F07,Sidecar,Plataforma de transporte urbano entre pares,Mobility / Marketplace P2P,"A tese inicial era conectar motoristas independentes a passageiros por meio de um aplicativo urbano de mobilidade. O problema era oferecer deslocamento mais rápido e flexível do que alternativas tradicionais em cidades congestionadas. A solução usava matching em tempo real e precificação dinâmica. O modelo de receita previa comissão por corrida.",Falha,"A startup perdeu espaço em um mercado altamente competitivo e intensivo em capital, sem alcançar massa crítica suficiente. A incapacidade de sustentar vantagem competitiva levou ao encerramento.",Efeito de Rede Insuficiente,[Deixar em Branco para o Experimento],https://www.nytimes.com/2015/12/20/technology/sidecar-shuts-down.html
F08,Color,App de compartilhamento de fotos baseado em proximidade,Social App,"A tese inicial era reinventar o compartilhamento de fotos com foco em contexto local e descoberta social. O problema era facilitar interação visual entre pessoas próximas sem fricção de seguir perfis. A solução permitia captura e visualização agregada de imagens por localização. O modelo de receita era incerto e dependia de escala de uso e monetização posterior.",Falha,"A startup teve forte assimetria entre curiosidade inicial e retenção real, além de uma proposta pouco clara para uso recorrente. A ausência de adoção sustentada comprometeu a continuidade.",No Need / Retenção Baixa,[Deixar em Branco para o Experimento],https://techcrunch.com/2011/04/13/color-shutdown/
F09,Clinkle,Pagamentos móveis com incentivo social,FinTech Consumer,"A tese inicial era simplificar pagamentos móveis com uma experiência baseada em aplicativo e incentivos para adoção. O problema era eliminar atrito de transações cotidianas e estimular uso por efeito viral. A solução unia carteira digital, engajamento social e mecanismos de recompensa. O modelo de receita previa monetização em pagamentos e serviços financeiros adjacentes.",Falha,"O caso ficou marcado por promessa elevada, execução fraca e dificuldade de transformar interesse em produto confiável. A combinação de atraso de produto e perda de confiança reduziu a viabilidade.",Execução Fraca,[Deixar em Branco para o Experimento],https://www.wired.com/2015/12/clinkle-startup-fail/
F10,Beepi,Marketplace de compra e venda de carros usados,Marketplace C2C,"A tese inicial era tornar a compra de carros usados mais transparente e confiável por meio de uma plataforma digital com inspeção e logística. O problema era reduzir assimetria de informação e risco percebido nas transações. A solução integrava curadoria, garantias e experiência ponta a ponta. O modelo de receita previa spread e taxas sobre transações.",Falha,"A empresa não conseguiu equilibrar crescimento, custo operacional e margem em um mercado complexo. A estrutura de capital e a intensidade operacional contribuíram para o fechamento.",Queima de Caixa,[Deixar em Branco para o Experimento],https://techcrunch.com/2017/02/15/beepi-shuts-down/
