ID_Startup,Nome_Real,Nome_Anonimizado,Ano_Fundacao,Ano_Encerramento,Setor_Industria,Modelo_Negocios,Status_Real,Motivo_Real_Gabarito,Rotulo_Categorico,Rotulos_Secundarios,Evento_Critico,Categoria_Evento_Critico,Ano_Evento_Critico,Desfecho_Previsto_IA,URL_Fonte
F01,Quibi,Plataforma móvel de vídeos curtos por assinatura,2018,2020,MediaTech B2C,"Plataforma de streaming mobile-first com conteúdo premium em vídeos curtos (5–10 minutos), focada em consumo rápido no smartphone. Modelo de receita baseado em assinatura mensal com e sem anúncios, apoiado por forte investimento em produção original de alto orçamento e curadoria. Distribuição exclusiva via app mobile.",Falha,"A empresa encerrou as operações poucos meses após o lançamento após levantar cerca de US$ 1,75 bilhão, sem conseguir atingir adoção relevante. O contexto da pandemia reduziu o uso em mobilidade e expôs limitações do produto frente a alternativas gratuitas.",Sem necessidade de mercado,"Problema de produto;Concorrência predatória","Anúncio oficial de encerramento das operações após baixa tração e revisão estratégica",Sem necessidade de mercado,2020,[Deixar em Branco para o Experimento],"https://www.cnn.com/2020/10/21/media/quibi-shutting-down;https://www.nytimes.com/2020/10/21/business/media/quibi-shutdown.html;https://hbr.org/2021/02/why-quibi-failed;https://www.wsj.com/articles/inside-quibis-rapid-rise-and-fall-11603281600;https://www.sec.gov/Archives/edgar/data/1776985/000119312520268200/d68234dex991.htm"
F02,Theranos,Plataforma privada de diagnósticos laboratoriais por microamostras,2003,2018,HealthTech Diagnostics,"Plataforma de diagnósticos baseada em microamostras de sangue com proposta de múltiplos exames rápidos e baratos. Modelo baseado em testes pagos e parcerias com farmácias e instituições, sustentado por tecnologia proprietária.",Falha,"A empresa colapsou após investigações revelarem que sua tecnologia não funcionava como alegado e que houve deturpação sistemática de dados. O caso resultou em sanções regulatórias e perda total de credibilidade.",Problema regulatório ou legal,"Produto ruim;Modelo de negócios falho","Abertura de processo e acusação formal de fraude pela SEC contra a empresa e sua liderança",Problema regulatório ou legal,2018,[Deixar em Branco para o Experimento],"https://www.sec.gov/newsroom/press-releases/2018-41;https://www.wsj.com/articles/theranos-holmes-trial-blood-testing-11641597600;https://www.nytimes.com/topic/company/theranos-inc;https://hbr.org/2016/12/theranos-and-the-role-of-board-of-directors-in-preventing-fraud"
F03,Juicero,Eletrodoméstico conectado para extração de bebidas vegetais,2013,2017,Consumer Hardware,"Eletrodoméstico conectado que utilizava pacotes proprietários para preparo de sucos. Modelo baseado na venda do hardware premium com recorrência em consumíveis integrados digitalmente.",Falha,"A empresa perdeu credibilidade após ser demonstrado que o produto era desnecessário, já que os pacotes podiam ser utilizados manualmente. O alto custo e baixa utilidade inviabilizaram a adoção.",Sem necessidade de mercado,"Problema de preço ou custo;Produto ruim","Publicação da Bloomberg demonstrando que o produto podia ser substituído manualmente sem perda de funcionalidade",Sem necessidade de mercado,2017,[Deixar em Branco para o Experimento],"https://www.theverge.com/2017/4/21/15379522/juicero-shutdown;https://www.bloomberg.com/news/articles/2017-04-19/silicon-valley-s-juicero-machine-can-be-replaced-by-hand;https://www.nytimes.com/2017/09/01/technology/juicero-shutting-down.html"
F04,23andMe,Plataforma de testes genéticos diretos ao consumidor,2006,2024,Biotech / Consumer Health,"Plataforma de testes genéticos diretos ao consumidor com kits de saliva, relatórios de ancestralidade e saúde, distribuídos via canal online e varejo. Modelo de receita baseado na venda de kits e em serviços recorrentes de dados, pesquisa e assinaturas.",Falha,"A empresa perdeu tração após anos de dificuldades para transformar a base de usuários em um modelo financeiro sustentável. A monetização via serviços de saúde e dados genéticos não compensou os altos custos operacionais e a pressão regulatória crescente. A deterioração da confiança e a fragilidade do negócio culminaram em colapso operacional e pedidos de proteção contra credores.",Problema regulatório ou legal,"Modelo de negócios falho;Problema de preço ou custo","Crise operacional e financeira culminando em colapso e necessidade de reestruturação",Problema regulatório ou legal,2024,[Deixar em Branco para o Experimento],"https://www.wsj.com/articles/23andme-bankruptcy-2024;https://www.reuters.com/world/us/23andme-files-bankruptcy-2024-03-24/;https://www.ft.com/content/23andme-2024-crisis"
F05,Jawbone,Wearable de saúde e dispositivos de áudio conectados,1999,2017,Wearable Tech,"Empresa de hardware com foco em wearables e dispositivos de áudio premium, integrados a aplicativos para engajamento contínuo. Modelo baseado na venda de hardware com potencial de ecossistema digital.",Falha,"A empresa não conseguiu competir com rivais mais eficientes como Apple e Fitbit, enfrentando problemas de qualidade, margens pressionadas e custos elevados. A perda de competitividade e a incapacidade de sustentar escala levaram à liquidação dos ativos.",Problema de preço ou custo,"Produto ruim;Concorrência predatória","Processo de liquidação dos ativos e encerramento formal das operações após incapacidade de sustentar o negócio",Problema de preço ou custo,2017,[Deixar em Branco para o Experimento],"https://www.theverge.com/2017/6/21/15849756/jawbone-liquidation-shut-down-report;https://www.wsj.com/articles/jawbone-to-liquidate-as-upstart-jawbone-health-hub-launches-1498036801;https://www.bloomberg.com/news/articles/2017-06-21/jawbone-said-to-liquidate-as-hub-startup-is-created"
F06,Anki,Robôs de consumo com software embarcado,2010,2019,Robotics / Consumer AI,"Empresa de robótica de consumo focada em produtos interativos com inteligência embarcada, combinando hardware, software e experiência conectada. Modelo de receita baseado na venda de dispositivos físicos com potencial de expansão via ecossistema digital e novos produtos. A proposta central era oferecer entretenimento tecnológico com comportamento adaptativo e alto engajamento.",Falha,"A empresa não conseguiu transformar inovação tecnológica em um modelo financeiro sustentável, enfrentando altos custos de desenvolvimento e produção de hardware. Apesar de produtos bem avaliados, a escala não foi suficiente para sustentar a operação sem capital contínuo. A dependência de funding e a dificuldade de atingir rentabilidade levaram ao encerramento das operações.",Fim do caixa,"Problema de preço ou custo;Modelo de negócios falho","Encerramento abrupto das operações após falha em levantar nova rodada de investimento",Fim do caixa,2019,[Deixar em Branco para o Experimento],"https://techcrunch.com/2019/04/19/anki-is-shutting-down/;https://www.theverge.com/2019/4/20/18508178/anki-shutting-down-cozmo-vector-robots;https://www.wsj.com/articles/robot-maker-anki-shuts-down-after-funding-falls-through-11555743601"
F07,Sidecar,Plataforma de transporte urbano entre pares,2012,2015,Mobility / Marketplace P2P,"Marketplace de mobilidade urbana conectando motoristas independentes a passageiros por meio de aplicativo com matching em tempo real e precificação dinâmica. Modelo de receita baseado em comissão por corrida, dependente de escala e densidade de rede para eficiência operacional e experiência do usuário.",Falha,"A empresa não conseguiu atingir massa crítica suficiente em um mercado dominado por concorrentes altamente capitalizados como Uber e Lyft. A dinâmica de efeitos de rede favoreceu os líderes, tornando difícil competir em preço, tempo de espera e disponibilidade. A falta de escala e diferenciação sustentável levou ao encerramento das operações.",Concorrência predatória,"Modelo de negócios falho;Sem necessidade de mercado","Encerramento das operações após perda de participação e incapacidade de competir com plataformas dominantes",Concorrência predatória,2015,[Deixar em Branco para o Experimento],"https://www.nytimes.com/2015/12/20/technology/sidecar-shuts-down.html;https://www.wsj.com/articles/sidecar-to-shut-down-1450571402;https://techcrunch.com/2015/12/19/sidecar-shuts-down/"
F08,Color,App de compartilhamento de fotos baseado em proximidade,2011,2012,Social App,"Aplicativo social de compartilhamento de fotos baseado em localização, permitindo que usuários próximos visualizassem e contribuíssem para um fluxo coletivo de imagens sem necessidade de conexão prévia. Modelo dependente de alta densidade de usuários simultâneos e escala para gerar valor de rede, com monetização indefinida no estágio inicial.",Falha,"A empresa enfrentou forte queda de retenção após o lançamento, com usuários não encontrando valor claro e recorrente na proposta. A dependência de densidade local simultânea criou uma barreira significativa para engajamento consistente. A combinação de proposta confusa e baixa retenção inviabilizou o crescimento sustentável.",Sem necessidade de mercado,"Produto ruim;Modelo de negócios falho","Queda acentuada de uso e engajamento após o lançamento, levando à descontinuação do produto",Sem necessidade de mercado,2012,[Deixar em Branco para o Experimento],"https://techcrunch.com/2011/04/13/color-shutdown/;https://www.wsj.com/articles/SB10001424052748704671904576230963355605150;https://www.theguardian.com/technology/2012/oct/22/color-labs-shuts-down"
F09,Clinkle,Pagamentos móveis com incentivo social,2011,2015,FinTech Consumer,"Aplicativo de pagamentos móveis com proposta de simplificar transações do dia a dia por meio de carteira digital combinada a incentivos sociais e recompensas. Modelo de receita baseado em monetização de pagamentos e serviços financeiros adjacentes, dependente de adoção em escala e confiança do usuário.",Falha,"A empresa enfrentou atrasos significativos no desenvolvimento do produto e não conseguiu entregar uma solução funcional à altura das expectativas criadas. Problemas de gestão e execução comprometeram a credibilidade junto a usuários e investidores. A perda de confiança e a incapacidade de lançar um produto competitivo inviabilizaram o negócio.",Equipe inadequada,"Produto ruim;Modelo de negócios falho","Atrasos sucessivos no lançamento e críticas públicas à gestão e à falta de produto funcional",Equipe inadequada,2015,[Deixar em Branco para o Experimento],"https://www.wired.com/2015/12/clinkle-startup-fail/;https://techcrunch.com/2015/12/21/clinkle-shuts-down/;https://www.businessinsider.com/what-happened-to-clinkle-2015-12"
F10,Beepi,Marketplace de compra e venda de carros usados,2013,2017,Marketplace C2C,"Marketplace digital para compra e venda de carros usados com proposta de eliminar fricção por meio de inspeção, precificação, logística e garantia integradas. Modelo de receita baseado em spread e taxas sobre transações, com operação intensiva em logística e controle de qualidade.",Falha,"A empresa enfrentou dificuldades para equilibrar crescimento com custos operacionais elevados em um modelo altamente intensivo em logística. A necessidade de controlar qualidade e experiência ponta a ponta pressionou margens e aumentou a queima de caixa. A incapacidade de ajustar unit economics e captar novos recursos levou ao encerramento.",Fim do caixa,"Problema de preço ou custo;Modelo de negócios falho","Fracasso em levantar nova rodada de investimento após sucessivas tentativas de venda ou fusão",Fim do caixa,2017,[Deixar em Branco para o Experimento],"https://techcrunch.com/2017/02/15/beepi-shuts-down/;https://www.wsj.com/articles/used-car-startup-beepi-closes-1487185203;https://www.businessinsider.com/beepi-shutting-down-2017-2"
